Method,PR-AUC,AUROC,NDCG@20,Prec@20,CWR,Best F1,P@1000,mAP@10
RCA Persistence,0.7658,0.6152,0.7352,0.6822,0.46,0.7485,0.773,0.8593
Density,0.6456,0.5649,0.765,0.6203,0.5459,0.7509,0.697,0.6329
ECI,0.5942,0.4904,0.6257,0.7829,0.4866,0.7485,0.572,N/A
ECI + Density,0.6456,0.5649,0.765,0.6203,0.5459,0.7509,0.697,0.6329
KNN (LLM embeddings),0.6279,0.5298,0.6614,0.5462,0.5048,0.7485,0.688,0.4871
GNN-4F,0.6777,0.607,0.7382,0.5948,0.5379,0.7529,0.758,0.5889
GNN-11F (BACI+WDI),0.6965,0.6272,0.7321,0.5957,0.5442,0.7546,0.765,0.5735
GNN-11F+LLM,0.7037,0.6323,0.7468,0.6038,0.5487,0.7553,0.781,0.6035
GNN-LLM v2 (GAT+Focal),0.6861,0.6113,0.728,0.5937,0.5397,0.7539,0.781,0.5735
GNN-LLM v2 Unopt,0.616,0.5422,0.6971,0.5606,0.5258,0.7518,0.617,0.5303
