Year,Method,PR-AUC,AUROC,NDCG@20,Prec@20,CWR,Best F1,P@1000,mAP@10
2015,RCA Persistence,0.7396,0.6193,0.7071,0.5919,0.4717,0.7127,0.703,0.5387
2015,Density,0.5808,0.5422,0.7375,0.5944,0.5352,0.7157,0.619,0.5951
2015,ECI,0.5408,0.4814,0.5936,0.4924,0.4875,0.7127,0.523,N/A
2015,ECI + Density,0.5808,0.5422,0.7375,0.5944,0.5352,0.7157,0.619,0.5951
2015,KNN (LLM embeddings),0.5856,0.5294,0.628,0.5166,0.5049,0.7127,0.67,0.445
2015,GNN-4F,0.6218,0.5944,0.7057,0.5737,0.5341,0.7188,0.69,0.5483
2015,GNN-11F (BACI+WDI),0.6491,0.6179,0.7136,0.5805,0.5448,0.7197,0.735,0.5678
2015,GNN-11F+LLM,0.6573,0.6244,0.7213,0.5805,0.552,0.7202,0.746,0.5776
2015,GNN-LLM v2 (GAT+Focal),0.6397,0.6013,0.6995,0.5671,0.5379,0.7191,0.74,0.5423
2015,GNN-LLM v2 Unopt,0.5596,0.525,0.6627,0.5335,0.5168,0.7157,0.524,0.4836
2016,RCA Persistence,0.7658,0.6152,0.7352,0.6822,0.46,0.7485,0.773,0.8593
2016,Density,0.6456,0.5649,0.765,0.6203,0.5459,0.7509,0.697,0.6329
2016,ECI,0.5942,0.4904,0.6257,0.7829,0.4866,0.7485,0.572,N/A
2016,ECI + Density,0.6456,0.5649,0.765,0.6203,0.5459,0.7509,0.697,0.6329
2016,KNN (LLM embeddings),0.6279,0.5298,0.6614,0.5462,0.5048,0.7485,0.688,0.4871
2016,GNN-4F,0.6777,0.607,0.7382,0.5948,0.5379,0.7529,0.758,0.5889
2016,GNN-11F (BACI+WDI),0.6965,0.6272,0.7321,0.5957,0.5442,0.7546,0.765,0.5735
2016,GNN-11F+LLM,0.7037,0.6323,0.7468,0.6038,0.5487,0.7553,0.781,0.6035
2016,GNN-LLM v2 (GAT+Focal),0.6861,0.6113,0.728,0.5937,0.5397,0.7539,0.781,0.5735
2016,GNN-LLM v2 Unopt,0.616,0.5422,0.6971,0.5606,0.5258,0.7518,0.617,0.5303
