Method,PR-AUC,AUROC,NDCG@20,Prec@20,CWR,Best F1,P@1000,mAP@10
RCA Persistence,0.5198,0.6515,0.5013,0.4788,0.3359,0.4357,0.597,0.366
Density,0.3487,0.7792,0.4809,0.44,0.8574,0.4205,0.486,0.3448
ECI,0.137,0.4821,0.1468,0.1374,0.4637,0.2597,0.093,N/A
ECI + Density,0.3487,0.7792,0.4809,0.44,0.8574,0.4205,0.486,0.3448
KNN (LLM embeddings),0.2305,0.6373,0.283,0.2644,0.655,0.2997,0.409,0.1644
GNN-4F,0.4126,0.8191,0.4379,0.3978,0.8843,0.4703,0.624,0.2985
GNN-11F (BACI+WDI),0.4337,0.8287,0.4648,0.4261,0.8962,0.4817,0.639,0.3315
GNN-11F+LLM,0.4402,0.8317,0.4805,0.4239,0.8988,0.4856,0.649,0.3665
GNN-LLM v2 (GAT+Focal),0.4099,0.8181,0.4427,0.396,0.8866,0.4662,0.656,0.3208
GNN-LLM v2 Unopt,0.3198,0.7732,0.3136,0.2814,0.8506,0.4118,0.408,0.1965
