Year,Method,PR-AUC,AUROC,NDCG@20,Prec@20,CWR,Best F1,P@1000,mAP@10
2015,RCA Persistence,0.5198,0.6515,0.5013,0.4788,0.3359,0.4357,0.597,0.366
2015,Density,0.3487,0.7792,0.4809,0.44,0.8574,0.4205,0.486,0.3448
2015,ECI,0.137,0.4821,0.1468,0.1374,0.4637,0.2597,0.093,N/A
2015,ECI + Density,0.3487,0.7792,0.4809,0.44,0.8574,0.4205,0.486,0.3448
2015,KNN (LLM embeddings),0.2305,0.6373,0.283,0.2644,0.655,0.2997,0.409,0.1644
2015,GNN-4F,0.4126,0.8191,0.4379,0.3978,0.8843,0.4703,0.624,0.2985
2015,GNN-11F (BACI+WDI),0.4337,0.8287,0.4648,0.4261,0.8962,0.4817,0.639,0.3315
2015,GNN-11F+LLM,0.4402,0.8317,0.4805,0.4239,0.8988,0.4856,0.649,0.3665
2015,GNN-LLM v2 (GAT+Focal),0.4099,0.8181,0.4427,0.396,0.8866,0.4662,0.656,0.3208
2015,GNN-LLM v2 Unopt,0.3198,0.7732,0.3136,0.2814,0.8506,0.4118,0.408,0.1965
2016,RCA Persistence,0.5514,0.6524,0.542,0.4896,0.3349,0.4479,0.003,0.4651
2016,Density,0.4007,0.7824,0.4931,0.4573,0.8477,0.4574,0.583,0.3633
2016,ECI,0.1563,0.4674,0.1656,0.8938,0.4322,0.2924,0.297,N/A
2016,ECI + Density,0.4007,0.7824,0.4931,0.4573,0.8477,0.4574,0.583,0.3633
2016,KNN (LLM embeddings),0.2609,0.6369,0.3151,0.2883,0.6504,0.331,0.46,0.194
2016,GNN-4F,0.4614,0.8185,0.4559,0.4177,0.8741,0.5022,0.695,0.3273
2016,GNN-11F (BACI+WDI),0.4711,0.8242,0.4724,0.4374,0.8806,0.5085,0.696,0.334
2016,GNN-11F+LLM,0.4786,0.8284,0.4941,0.4485,0.8847,0.5136,0.707,0.3699
2016,GNN-LLM v2 (GAT+Focal),0.4461,0.8155,0.4487,0.4104,0.8738,0.4963,0.684,0.3219
2016,GNN-LLM v2 Unopt,0.3643,0.7753,0.3372,0.3093,0.8443,0.4471,0.477,0.2217
