Method,PR-AUC,AUROC,NDCG@20,Prec@20,CWR,Best F1,P@1000,mAP@10
RCA Persistence,0.7658,0.6152,0.7352,0.6822,0.46,0.7485,0.773,0.8593
Density,0.6456,0.5649,0.765,0.6203,0.5459,0.7509,0.697,0.6329
ECI,0.5942,0.4904,0.6257,0.7829,0.4866,0.7485,0.572,N/A
ECI + Density,0.6456,0.5649,0.765,0.6203,0.5459,0.7509,0.697,0.6329
KNN (LLM embeddings),0.6279,0.5298,0.6614,0.5462,0.5048,0.7485,0.688,0.4871
XGBoost,0.8095,0.763,0.843,0.6847,0.6417,0.7838,0.907,0.7426
GNN-4F,0.6781,0.6074,0.7394,0.5944,0.5383,0.753,0.757,0.5904
GNN-11F (BACI+WDI),0.6963,0.6276,0.7311,0.5996,0.5444,0.7548,0.774,0.5719
GNN-11F+LLM,0.7049,0.6349,0.7417,0.6034,0.5496,0.7551,0.792,0.5927
GNN-LLM v2 (GAT+Focal),0.6864,0.6118,0.7247,0.5896,0.5396,0.7538,0.779,0.5704
GNN-LLM v2 Unopt,0.6156,0.542,0.6939,0.5595,0.5249,0.7518,0.615,0.5268
GNN-LLM PCA-A (SAGE),0.7033,0.631,0.746,0.605,0.5547,0.7546,0.8,0.6031
GNN-LLM PCA-B (GCN+EW),0.7027,0.6284,0.7531,0.6047,0.5519,0.7545,0.807,0.6115
GNN-LLM PCA-D (GAT+EW opt),0.6865,0.6148,0.7423,0.5982,0.5504,0.754,0.782,0.5778
