Year,Method,PR-AUC,AUROC,NDCG@20,Prec@20,CWR,Best F1,P@1000,mAP@10
2015,RCA Persistence,0.7396,0.6193,0.7071,0.5919,0.4717,0.7127,0.703,0.5387
2015,Density,0.5808,0.5422,0.7375,0.5944,0.5352,0.7157,0.619,0.5951
2015,ECI,0.5408,0.4814,0.5936,0.4924,0.4875,0.7127,0.523,N/A
2015,ECI + Density,0.5808,0.5422,0.7375,0.5944,0.5352,0.7157,0.619,0.5951
2015,KNN (LLM embeddings),0.5856,0.5294,0.628,0.5166,0.5049,0.7127,0.67,0.445
2015,GNN-4F,0.6203,0.5936,0.7028,0.5714,0.533,0.7184,0.667,0.5433
2015,GNN-11F (BACI+WDI),0.6516,0.6208,0.7174,0.5819,0.5481,0.7207,0.73,0.5689
2015,GNN-11F+LLM,0.658,0.6251,0.7138,0.5764,0.5523,0.7199,0.753,0.5611
2015,GNN-LLM v2 (GAT+Focal),0.6403,0.6014,0.7014,0.5671,0.536,0.7195,0.741,0.5445
2015,GNN-LLM v2 Unopt,0.5594,0.525,0.6589,0.533,0.5163,0.7156,0.533,0.4795
2015,GNN-LLM PCA-A (SAGE),0.6533,0.6232,0.7322,0.5844,0.555,0.7199,0.737,0.5959
2015,GNN-LLM PCA-B (GCN+EW),0.6571,0.6242,0.7207,0.5771,0.555,0.7204,0.74,0.5729
2016,RCA Persistence,0.7658,0.6152,0.7352,0.6822,0.46,0.7485,0.773,0.8593
2016,Density,0.6456,0.5649,0.765,0.6203,0.5459,0.7509,0.697,0.6329
2016,ECI,0.5942,0.4904,0.6257,0.7829,0.4866,0.7485,0.572,N/A
2016,ECI + Density,0.6456,0.5649,0.765,0.6203,0.5459,0.7509,0.697,0.6329
2016,KNN (LLM embeddings),0.6279,0.5298,0.6614,0.5462,0.5048,0.7485,0.688,0.4871
2016,GNN-4F,0.6779,0.6076,0.7388,0.5933,0.5385,0.7534,0.765,0.5874
2016,GNN-11F (BACI+WDI),0.6972,0.6266,0.736,0.596,0.5443,0.7544,0.77,0.5842
2016,GNN-11F+LLM,0.704,0.6327,0.7492,0.6054,0.5484,0.7558,0.786,0.6073
2016,GNN-LLM v2 (GAT+Focal),0.6857,0.6106,0.7249,0.5942,0.5379,0.7538,0.777,0.5634
2016,GNN-LLM v2 Unopt,0.6158,0.5421,0.6959,0.5599,0.5268,0.7519,0.614,0.5291
2016,GNN-LLM PCA-A (SAGE),0.7019,0.632,0.7409,0.6032,0.5549,0.755,0.791,0.6013
2016,GNN-LLM PCA-B (GCN+EW),0.7027,0.6284,0.7531,0.6047,0.5519,0.7545,0.807,0.6115
