Method,PR-AUC,AUROC,NDCG@20,Prec@20,CWR,Best F1,P@1000,mAP@10
RCA Persistence,0.5514,0.6524,0.542,0.4896,0.3349,0.4479,0.003,0.4651
Density,0.4007,0.7824,0.4931,0.4573,0.8477,0.4574,0.583,0.3633
ECI,0.1563,0.4674,0.1656,0.8938,0.4322,0.2924,0.297,N/A
ECI + Density,0.4007,0.7824,0.4931,0.4573,0.8477,0.4574,0.583,0.3633
KNN (LLM embeddings),0.2609,0.6369,0.3151,0.2883,0.6504,0.331,0.46,0.194
GNN-4F,0.4623,0.8197,0.4555,0.415,0.8742,0.5033,0.691,0.3332
GNN-11F (BACI+WDI),0.4725,0.8257,0.4697,0.4361,0.882,0.5091,0.678,0.3342
GNN-11F+LLM,0.4787,0.8283,0.4917,0.4458,0.8848,0.5126,0.709,0.3686
GNN-LLM v2 (GAT+Focal),0.4461,0.8159,0.445,0.4066,0.875,0.497,0.684,0.3172
GNN-LLM v2 Unopt,0.3641,0.7754,0.336,0.3093,0.8449,0.4479,0.476,0.2203
GNN-LLM PCA-A (SAGE),0.4919,0.8325,0.5057,0.4584,0.8895,0.5183,0.741,0.3786
GNN-LLM PCA-B (GCN+EW),0.4926,0.8348,0.512,0.4626,0.8912,0.5211,0.754,0.3886
GNN-LLM PCA-D (GAT+EW opt),0.4455,0.8184,0.4541,0.4113,0.881,0.4957,0.699,0.3216
XGBoost,0.688,0.8978,0.7269,0.656,0.9285,0.6567,0.906,0.6506
