Year,Method,PR-AUC,AUROC,NDCG@20,Prec@20,CWR,Best F1,P@1000,mAP@10
2015,RCA Persistence,0.5198,0.6515,0.5013,0.4788,0.3359,0.4357,0.597,0.366
2015,Density,0.3487,0.7792,0.4809,0.44,0.8574,0.4205,0.486,0.3448
2015,ECI,0.137,0.4821,0.1468,0.1374,0.4637,0.2597,0.093,N/A
2015,ECI + Density,0.3487,0.7792,0.4809,0.44,0.8574,0.4205,0.486,0.3448
2015,KNN (LLM embeddings),0.2305,0.6373,0.283,0.2644,0.655,0.2997,0.409,0.1644
2015,GNN-4F,0.4107,0.8184,0.4355,0.3967,0.8837,0.4689,0.615,0.2955
2015,GNN-11F (BACI+WDI),0.4341,0.8294,0.4667,0.427,0.898,0.4817,0.632,0.3303
2015,GNN-11F+LLM,0.442,0.8317,0.475,0.4235,0.8972,0.4851,0.661,0.3485
2015,GNN-LLM v2 (GAT+Focal),0.41,0.8186,0.4435,0.3971,0.8881,0.4657,0.648,0.3185
2015,GNN-LLM v2 Unopt,0.3194,0.773,0.314,0.2819,0.8512,0.4113,0.412,0.1942
2015,GNN-LLM PCA-A (SAGE),0.4498,0.8344,0.4839,0.4365,0.9006,0.4904,0.695,0.3567
2015,GNN-LLM PCA-B (GCN+EW),0.4565,0.8392,0.4948,0.4376,0.9057,0.4946,0.685,0.3745
2016,RCA Persistence,0.5514,0.6524,0.542,0.4896,0.3349,0.4479,0.003,0.4651
2016,Density,0.4007,0.7824,0.4931,0.4573,0.8477,0.4574,0.583,0.3633
2016,ECI,0.1563,0.4674,0.1656,0.8938,0.4322,0.2924,0.297,N/A
2016,ECI + Density,0.4007,0.7824,0.4931,0.4573,0.8477,0.4574,0.583,0.3633
2016,KNN (LLM embeddings),0.2609,0.6369,0.3151,0.2883,0.6504,0.331,0.46,0.194
2016,GNN-4F,0.4623,0.8205,0.4579,0.4192,0.8765,0.5036,0.698,0.3233
2016,GNN-11F (BACI+WDI),0.4739,0.8249,0.4693,0.4323,0.8789,0.5085,0.69,0.3409
2016,GNN-11F+LLM,0.4755,0.8279,0.4944,0.448,0.8852,0.5107,0.697,0.3732
2016,GNN-LLM v2 (GAT+Focal),0.4457,0.8153,0.4431,0.4075,0.8754,0.4967,0.685,0.3127
2016,GNN-LLM v2 Unopt,0.364,0.7751,0.3363,0.308,0.8438,0.4471,0.473,0.2208
2016,GNN-LLM PCA-A (SAGE),0.4912,0.8333,0.5048,0.4597,0.8885,0.5195,0.745,0.3746
2016,GNN-LLM PCA-B (GCN+EW),0.4926,0.8348,0.512,0.4626,0.8912,0.5211,0.754,0.3886
