feature,block,mean_abs_shap,pct
rca_t,RCA history,0.5387900741584841,14.000110436901004
c_n_products,Country (BACI),0.3388954877720479,8.805979328380309
c_gdp_pc,Country (WDI),0.31182566470238143,8.10258754248927
p_ubiquity,Product,0.271778249250914,7.061981440179968
rca_t-1,RCA history,0.26118643115466966,6.7867599203578175
c_tertiary_enrollment,Country (WDI),0.25743279355446397,6.689224083185869
c_internet_users,Country (WDI),0.23208414091756183,6.030555794061294
c_manufacturing_va,Country (WDI),0.20097328615740756,5.2221604220626086
c_log_export,Country (BACI),0.2007368817679513,5.216017607413833
rca_t-2,RCA history,0.18436034629072992,4.790483960356545
c_population,Country (WDI),0.17868613660216312,4.6430433037963015
c_capital_formation,Country (WDI),0.1714164670338709,4.454145657612247
c_avg_rca,Country (BACI),0.17094740207804027,4.441957309127978
c_max_rca,Country (BACI),0.1357522697400915,3.5274346347037806
p_log_world_export,Product,0.13428730925997392,3.489368587293062
llm_pca_0,LLM-PCA,0.025682324743463707,0.6673385422818398
p_avg_rca,Product,0.017052156784810427,0.443089228300212
llm_pca_2,LLM-PCA,0.014134048992130856,0.3672640909717201
c_fdi_inflows,Country (WDI),0.013411216855050652,0.3484817669612608
llm_pca_29,LLM-PCA,0.01078460799129255,0.2802310401367354
llm_pca_11,LLM-PCA,0.009532976498657914,0.24770820802896756
llm_pca_5,LLM-PCA,0.009052940992400525,0.23523479691104063
llm_pca_27,LLM-PCA,0.008016553071056687,0.20830492932402928
llm_pca_18,LLM-PCA,0.00797986054035237,0.20735149772477024
llm_pca_31,LLM-PCA,0.007813552127184436,0.20303008153206592
llm_pca_4,LLM-PCA,0.007635988498728747,0.19841620587402015
llm_pca_1,LLM-PCA,0.007551873809195484,0.19623054025152217
llm_pca_3,LLM-PCA,0.00740987592529125,0.19254081738576506
llm_pca_28,LLM-PCA,0.007144811717470816,0.18565329595517505
llm_pca_13,LLM-PCA,0.006975079618687414,0.18124291751350455
llm_pca_6,LLM-PCA,0.006764422354335715,0.17576912520234234
llm_pca_15,LLM-PCA,0.0067485349998208785,0.17535630260514565
llm_pca_7,LLM-PCA,0.006623331007555735,0.17210295811547469
llm_pca_14,LLM-PCA,0.00652782405918924,0.16962127204003852
llm_pca_8,LLM-PCA,0.0064562522006100355,0.16776152374039113
llm_pca_30,LLM-PCA,0.006067261611726948,0.15765385571813934
llm_pca_23,LLM-PCA,0.005973031751230027,0.15520535394224616
llm_pca_25,LLM-PCA,0.005898925847518108,0.15327976012425754
llm_pca_22,LLM-PCA,0.005763299710448092,0.14975560296513366
llm_pca_26,LLM-PCA,0.005438839783514112,0.14132472231737994
llm_pca_19,LLM-PCA,0.005338434318510478,0.13871575146594997
llm_pca_10,LLM-PCA,0.005177692675213439,0.1345389841758652
llm_pca_24,LLM-PCA,0.004954973539572292,0.12875177196662543
llm_pca_20,LLM-PCA,0.004526035880018769,0.11760610523608214
llm_pca_9,LLM-PCA,0.003660226034498084,0.09510859825513453
llm_pca_16,LLM-PCA,0.003551257422068327,0.09227711957476871
llm_pca_12,LLM-PCA,0.0034948431258221115,0.09081123069606091
llm_pca_17,LLM-PCA,0.003341242697948717,0.08682002325457003
llm_pca_21,LLM-PCA,0.0028329339973770674,0.0736119515298718
