feature,block,mean_abs_shap,pct
rca_t,RCA history,0.9771514,21.079306
density,Density,0.82750964,17.851202
eci,ECI,0.3668755,7.9143114
c_n_products,Country (BACI),0.35513398,7.661021
rca_t-1,RCA history,0.27952042,6.0298705
rca_t-2,RCA history,0.19180948,4.1377525
p_ubiquity,Product,0.18436834,3.9772308
c_log_export,Country (BACI),0.16991498,3.6654398
c_population,Country (WDI),0.1302687,2.810182
p_log_world_export,Product,0.11378142,2.4545157
p_avg_rca,Product,0.080569185,1.7380545
c_gdp_pc,Country (WDI),0.0778815,1.6800753
llm_pca_0,LLM-PCA,0.06978543,1.5054253
c_internet_users,Country (WDI),0.06521158,1.4067572
llm_pca_1,LLM-PCA,0.061742473,1.331921
c_manufacturing_va,Country (WDI),0.060952928,1.3148887
c_tertiary_enrollment,Country (WDI),0.05150723,1.1111243
llm_pca_5,LLM-PCA,0.03852767,0.83112663
llm_pca_2,LLM-PCA,0.034239884,0.73862964
llm_pca_11,LLM-PCA,0.030347131,0.6546544
c_capital_formation,Country (WDI),0.028664079,0.6183472
c_avg_rca,Country (BACI),0.027592117,0.5952227
llm_pca_16,LLM-PCA,0.02640795,0.5696776
c_max_rca,Country (BACI),0.02595173,0.5598359
llm_pca_13,LLM-PCA,0.025615128,0.55257463
c_fdi_inflows,Country (WDI),0.025503952,0.5501764
llm_pca_8,LLM-PCA,0.02453612,0.5292981
llm_pca_30,LLM-PCA,0.024191381,0.5218613
llm_pca_29,LLM-PCA,0.021620264,0.46639666
llm_pca_3,LLM-PCA,0.01595699,0.3442274
llm_pca_10,LLM-PCA,0.015292198,0.32988638
llm_pca_22,LLM-PCA,0.015118924,0.32614845
llm_pca_12,LLM-PCA,0.013039795,0.28129706
llm_pca_7,LLM-PCA,0.012097115,0.26096138
llm_pca_15,LLM-PCA,0.011902974,0.25677332
llm_pca_21,LLM-PCA,0.011815466,0.25488558
llm_pca_20,LLM-PCA,0.011669795,0.25174317
llm_pca_28,LLM-PCA,0.011668582,0.25171697
llm_pca_27,LLM-PCA,0.011349042,0.2448238
llm_pca_23,LLM-PCA,0.011330961,0.24443376
llm_pca_9,LLM-PCA,0.010971228,0.23667352
llm_pca_24,LLM-PCA,0.0109216,0.23560293
llm_pca_17,LLM-PCA,0.009201136,0.19848876
llm_pca_19,LLM-PCA,0.00913221,0.19700186
llm_pca_6,LLM-PCA,0.00911717,0.19667742
llm_pca_14,LLM-PCA,0.0088514695,0.19094567
llm_pca_26,LLM-PCA,0.008770613,0.18920141
llm_pca_18,LLM-PCA,0.0087618055,0.18901141
llm_pca_4,LLM-PCA,0.008259812,0.17818233
llm_pca_25,LLM-PCA,0.0079542,0.1715896
llm_pca_31,LLM-PCA,0.005231297,0.112850584
