Year,Method,PR-AUC,AUROC,Best F1,NDCG@20,Prec@20,CWR
2015,"XGBoost (optimized, standalone)",0.6575,0.8992,0.6319,0.7002,0.642,0.9366
2015,"GNN-11F-LLM + RCA-skip (optimized, standalone)",0.6413,0.8952,0.6264,0.6734,0.6139,0.9342
2015,XGB + GNN-embedding fusion,0.6669,0.9007,0.6384,0.7108,0.6493,0.9346
2015,Blend (50/50 average),0.6619,0.9022,0.6338,0.6996,0.6367,0.9389
2015,Blend (tuned w=0.65 on val),0.6633,0.9023,0.635,0.7006,0.6378,0.9383
2016,"XGBoost (optimized, standalone)",0.6545,0.897,0.6332,0.6981,0.6305,0.9309
2016,"GNN-11F-LLM + RCA-skip (optimized, standalone)",0.6403,0.893,0.6299,0.66,0.6062,0.9295
2016,XGB + GNN-embedding fusion,0.666,0.8984,0.638,0.7044,0.6381,0.9322
2016,Blend (50/50 average),0.6619,0.9004,0.6382,0.6956,0.6347,0.9335
2016,Blend (tuned w=0.65 on val),0.6628,0.9005,0.6376,0.7016,0.6378,0.934
